A̱o;nDiasLluvia
2006;78.60568181818184
2007;79.0840909090909
2008;77.20454545454547
2009;81.9465909090909
2010;80.75113636363636
2011;69.29772727272729
2012;66.24431818181819
2013;78.66818181818181
2014;72.12840909090909
2015;74.27613636363637
2016;90.84772727272725
2017;76.26818181818182
2018;74.88181818181818
2019;78.32727272727273
2020;73.85568181818182
2021;73.62045454545452
2022;78.8715909090909
2023;72.2
2024;71.18977272727273
2025;72.03636363636365
2026;76.37727272727273
2027;71.86931818181819
2028;66.15113636363638
2029;72.07613636363637
2030;70.1568181818182
2031;73.64204545454544
2032;83.54772727272727
2033;70.69090909090907
2034;75.22727272727272
2035;68.64886363636364
2036;69.4284090909091
2037;66.27386363636364
2038;69.74431818181819
2039;69.67727272727272
2040;69.74431818181819
2041;73.09318181818182
2042;65.7375
2043;71.61931818181819
2044;69.12727272727271
2045;67.32272727272728
2046;57.63295454545455
2047;65.46477272727272
2048;67.94204545454545
2049;66.18181818181817
2050;73.11931818181817
2051;70.14545454545454
2052;68.40568181818183
2053;68.21704545454546
2054;61.519318181818186
2055;69.24545454545455
2056;71.54318181818181
2057;63.946590909090915
2058;61.51022727272728
2059;68.96022727272728
2060;62.96818181818182
2061;62.61477272727272
2062;64.74886363636364
2063;63.794318181818184
2064;68.24999999999999
2065;68.22840909090908
2066;67.88636363636364
2067;63.057954545454535
2068;65.06818181818183
2069;68.25113636363636
2070;62.41704545454545
2071;59.76136363636363
2072;63.95340909090909
2073;64.83863636363637
2074;64.43636363636364
2075;64.26704545454545
2076;63.17272727272728
2077;57.92840909090909
2078;54.86363636363637
2079;58.92159090909092
2080;67.5159090909091
2081;59.81590909090909
2082;48.309090909090905
2083;61.85454545454546
2084;59.16136363636364
2085;52.2375
2086;60.835227272727266
2087;59.849999999999994
2088;62.84545454545454
2089;59.092045454545456
2090;62.34886363636364
2091;53.51477272727272
2092;62.64772727272727
2093;57.99772727272727
2094;51.43522727272727
2095;56.33068181818182
2096;55.31250000000001
2097;64.36931818181817
2098;51.962499999999984
2099;56.78068181818182
2100;51.07832167832167