A̱o;Temp_Max
2006;33.58314772727273
2007;34.67018181818181
2008;34.79155681818182
2009;33.82665909090908
2010;32.70102272727273
2011;33.59738636363636
2012;34.624818181818185
2013;34.39348863636364
2014;34.17913286713287
2015;33.98996590909091
2016;33.743295454545446
2017;33.90261363636365
2018;34.50628409090909
2019;35.32085227272727
2020;32.93515909090909
2021;34.25548863636363
2022;34.813762237762234
2023;34.67217045454546
2024;33.91193181818182
2025;34.52127272727273
2026;34.676874999999995
2027;34.61334090909091
2028;34.32928409090909
2029;33.64907954545455
2030;33.509875
2031;34.366386363636366
2032;34.486761363636354
2033;35.07388636363636
2034;33.940999999999995
2035;34.51079545454545
2036;34.93428409090909
2037;34.62530681818182
2038;34.48681818181819
2039;35.74069318181818
2040;35.39875
2041;35.015090909090915
2042;36.63557954545455
2043;36.37753409090909
2044;35.41475
2045;34.81426136363637
2046;34.71636363636364
2047;36.148090909090904
2048;35.672034090909094
2049;36.27010227272727
2050;35.67228409090908
2051;36.029284090909094
2052;34.28665909090909
2053;35.4495340909091
2054;36.17097902097902
2055;35.232079545454546
2056;35.295215909090906
2057;34.384659090909096
2058;36.49965909090909
2059;35.33660227272727
2060;35.53188636363636
2061;35.41643181818181
2062;36.26805681818182
2063;35.22414772727272
2064;35.63878409090909
2065;34.36932954545455
2066;35.434988636363634
2067;35.50532954545455
2068;34.8154090909091
2069;34.79996590909091
2070;36.62469318181818
2071;36.18861363636364
2072;36.93657954545454
2073;35.20464772727272
2074;36.63848863636363
2075;36.51143181818181
2076;36.46082954545454
2077;36.630034090909085
2078;36.39613636363635
2079;35.848159090909085
2080;35.7157840909091
2081;35.61720454545455
2082;35.273284090909094
2083;35.68897727272728
2084;36.405090909090916
2085;35.426261363636364
2086;36.28339772727273
2087;36.18218181818182
2088;35.325340909090905
2089;35.237511363636365
2090;36.6175909090909
2091;35.81023863636364
2092;35.209420454545466
2093;34.56186363636364
2094;36.49915909090909
2095;35.78154545454546
2096;36.21812499999999
2097;35.798
2098;35.988475524475525
2099;35.52040909090909
2100;36.94611188811188
