A̱o;Temp_Min
2006;-1.8179300699300704
2007;-1.9621022727272726
2008;-1.7413522727272726
2009;-2.0551250000000003
2010;-1.3193068181818182
2011;-1.160397727272727
2012;-1.427011363636364
2013;-1.2099204545454545
2014;-1.3439886363636369
2015;-1.508055944055944
2016;-0.4116136363636361
2017;-1.0285795454545457
2018;-0.7950000000000002
2019;-1.0343409090909095
2020;-1.810352272727272
2021;-0.5077499999999998
2022;-2.2667613636363635
2023;-1.3705909090909092
2024;-2.1647272727272724
2025;-1.1355000000000002
2026;-1.4429659090909095
2027;-1.0568636363636363
2028;-1.7101931818181817
2029;-1.3953636363636364
2030;-0.6636250000000004
2031;-1.3321022727272727
2032;-0.9346249999999999
2033;-2.231113636363636
2034;-0.9053863636363638
2035;-2.106643356643357
2036;-1.4083068181818181
2037;-0.5663522727272724
2038;-0.24569318181818203
2039;-0.12110227272727273
2040;-0.37901136363636384
2041;-0.3409204545454546
2042;-0.9663522727272728
2043;-0.2755909090909093
2044;-0.9559431818181816
2045;-1.2169090909090905
2046;0.023511363636363285
2047;-0.6989318181818185
2048;-0.6675340909090911
2049;-0.8265340909090908
2050;-0.7816704545454546
2051;-1.0999318181818185
2052;0.7810769230769232
2053;-1.7050909090909092
2054;-0.14263636363636376
2055;0.314681818181818
2056;0.5207727272727272
2057;-0.8244318181818183
2058;0.36689772727272735
2059;-0.3765340909090907
2060;-0.46370454545454554
2061;-0.4048295454545453
2062;-0.16486363636363618
2063;0.7323409090909091
2064;0.5657499999999996
2065;-0.0823750000000002
2066;0.12005681818181788
2067;-0.25053409090909096
2068;0.3560227272727275
2069;0.23902272727272725
2070;0.4611704545454546
2071;-0.07177272727272756
2072;-0.10613636363636374
2073;0.682784090909091
2074;0.1745909090909092
2075;1.0668409090909088
2076;-0.6023181818181816
2077;0.8445681818181822
2078;1.241056818181818
2079;1.4749431818181815
2080;-0.10237499999999981
2081;0.8212727272727272
2082;-0.21955681818181855
2083;-0.1964886363636366
2084;1.093659090909091
2085;0.7826704545454548
2086;0.952034090909091
2087;1.1104886363636364
2088;0.9533750000000001
2089;1.5962954545454546
2090;0.2437499999999999
2091;1.2778636363636364
2092;1.6406477272727273
2093;1.6417727272727272
2094;1.2210568181818184
2095;1.8163409090909093
2096;1.4876022727272729
2097;1.5080454545454545
2098;1.3591888111888115
2099;3.124511363636365
2100;0.9880000000000001
